City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Lady Frere,ZA,74.46,overcast clouds,-31.7031,27.2329,Goshen BnB
536,Kirkwall,GB,46.45,scattered clouds,58.9848,-2.9587,Kirkwall Hotel
541,Arona,ES,70.83,broken clouds,28.0996,-16.681,Paradise Court
543,Palma Di Montechiaro,IT,46.62,overcast clouds,37.1926,13.765,Daphnae House
544,Saint George,US,41.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
545,Fethiye,TR,55.27,overcast clouds,36.6217,29.1164,Club & Hotel Letoonia
546,Hihya,EG,65.28,scattered clouds,30.6713,31.588,مضيفة المركز
547,Teahupoo,PF,71.56,light rain,-17.8333,-149.2667,Vanira Lodge
548,Tuatapere,NZ,59.83,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
550,Mount Gambier,AU,55.31,overcast clouds,-37.8333,140.7667,The Commodore
555,Lufkin,US,55.83,overcast clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
560,Taltal,CL,67.69,clear sky,-25.4,-70.4833,Residencial Karime
562,Abasha,GE,52.02,overcast clouds,42.2096,42.2211,Hotel
568,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
570,San Matias,BO,72.63,heavy intensity rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
576,Fort Myers Beach,US,56.01,clear sky,26.452,-81.9481,Lani Kai Island Resort
579,Saint-Denis,FR,48.88,overcast clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
580,Tecate,MX,51.3,broken clouds,32.5667,-116.6333,Hotel El Dorado
582,Ranfurly,NZ,58.64,overcast clouds,-45.1333,170.1,Ranfurly Holiday Park Motels & Cabins
583,La Palma,US,56.01,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
587,Dowa,MW,72.72,light rain,-13.654,33.9375,Dowa Inn
590,Coxim,BR,72.66,overcast clouds,-18.5067,-54.76,Hotel Avenida
591,Sarangarh,IN,72.88,clear sky,21.6,83.0833,Svidha kendra
592,Llangefni,GB,54.66,few clouds,53.2556,-4.3106,Bull Hotel
593,Faqirwali,PK,64.72,clear sky,29.4663,73.034,Al makkah tayer faqirwali
594,Raymondville,US,59.09,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
596,Soe,ID,67.03,clear sky,-9.8607,124.284,Dena Hotel
597,Tura,IN,59.22,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
602,Kushima,JP,40.12,few clouds,31.4583,131.2333,Hanaoka
606,Dickinson,US,61.16,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
609,Nova Olimpia,BR,72.19,overcast clouds,-14.7972,-57.2881,Motel glamour
610,Tres Arroyos,AR,72.95,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
612,Sayat,TM,57.24,overcast clouds,38.7839,63.8803,
614,Les Herbiers,FR,53.06,broken clouds,46.8667,-1.0167,Maison Marie Barrault
621,Cadereyta,MX,58.17,clear sky,25.5833,-99.9833,Best Western Centro Cadereyta
626,Colares,PT,65.34,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
629,Sabha,LY,65.86,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
631,Mwinilunga,ZM,73.4,light rain,-11.7358,24.4293,Kwakuwahi Lodge
632,Pathein,MM,66.99,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
633,Punta De Bombon,PE,70.56,overcast clouds,-17.1717,-71.7931,Hotel Bedregal
634,Allapalli,IN,72.59,clear sky,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
635,Sechura,PE,72.39,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
636,Simao,CN,52.2,clear sky,22.7886,100.9748,Changyu Hotel
639,Puerto Madryn,AR,72.27,clear sky,-42.7692,-65.0385,Hotel Tolosa
644,Matamoros,MX,45.1,clear sky,25.5333,-103.25,Quinta Belem
651,Arrecife,ES,69.87,clear sky,28.963,-13.5477,Hotel Lancelot
656,Mwaro,BI,59.67,overcast clouds,-3.5,29.6667,Lycée Mwaro
658,Warrnambool,AU,58.8,overcast clouds,-38.3833,142.4833,Lady Bay Resort
660,Springfield,US,51.67,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
666,Fortuna Foothills,US,50.22,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
668,Quang Ngai,VN,69.24,overcast clouds,15.1167,108.8,Central Hotel
670,Sibu,MY,74.37,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
672,Bone,DE,40.82,moderate rain,51.9669,12.1396,Sporthotel Wallwitz
674,Huarmey,PE,71.6,scattered clouds,-10.0681,-78.1522,Hotel Miramar
675,Russell,US,46.11,clear sky,32.3502,-85.1999,Macs
677,Plouzane,FR,50.32,overcast clouds,48.3833,-4.6167,Lymina
679,De Aar,ZA,68.65,light rain,-30.6497,24.0123,Nyibiba Guesthouse
680,Bridlington,GB,55.58,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
688,Jiblah,YE,64.94,overcast clouds,13.9216,44.1467,Tiger Tower Hotel
690,La Rioja,ES,49.32,overcast clouds,42.25,-2.5,Casa Concejos
692,Skibbereen,IE,53.4,scattered clouds,51.55,-9.2667,The West Cork Hotel
694,Alice Town,BS,68.54,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
